District,Unit  ,Inci_no   ,incid_descrip,Alm_d  m            ,Disp_d    m           ,No  if_d    m          ,Roll_d    m           ,Arv_d    m            ,In_d    m             ,City                     ,Zip       ,Shift,geopoint
South End,E5,19-0000897,EMS call,2/9/19 11:17,2/9/19 11:17,2/9/19 11:17,2/9/19 11:18,2/9/19 11:22,2/9/19 11:40,BURLINGTON,5401,B,"44.4911981656,-73.2105786827"
South End,E5,19-0002907,EMS call,5/16/19 18:30,5/16/19 18:30,5/16/19 18:31,5/16/19 18:33,5/16/19 18:34,5/16/19 18:45,BURLINGTON,5401,B,"44.4350819243,-73.1939533741"
South End,E5,18-0007856,Assist invalid,12/20/18 3:16,12/20/18 3:16,12/20/18 3:18,12/20/18 3:20,12/20/18 3:29,12/20/18 3:34,BURLINGTON,5401,B,"44.4715139925,-73.2421547037"
South End,E5,19-0000020,Assist police or other governmental agency,1/1/19 10:16,1/1/19 10:16,1/1/19 10:22,1/1/19 10:22,1/1/19 10:22,1/1/19 10:24,BURLINGTON,5401,B,"44.4380212058,-73.2207067755"
Hill Section,A1,19-0006941,"Emergency medical service incident, other",11/1/19 20:34,11/1/19 20:34,11/1/19 20:41,11/1/19 20:41,11/1/19 20:44,11/1/19 20:44,BURLINGTON,5401,C,"44.4937479721,-73.1819902247"
New North End,L4,19-0005543,EMS call,9/6/19 4:35,9/6/19 4:35,9/6/19 4:35,9/6/19 4:37,9/6/19 4:39,9/6/19 5:01,BURLINGTON,5408,A,"44.5358855153,-73.2474908446"
New North End,L4,19-0005566,Smoke detector activation due to malfunction,9/7/19 5:31,9/7/19 5:31,9/7/19 5:31,9/7/19 5:33,9/7/19 5:36,9/7/19 5:50,BURLINGTON,5408,B,"44.5029382185,-73.2403348679"
New North End,L4,19-0007348,EMS call,11/18/19 11:23,11/18/19 11:23,11/18/19 11:24,11/18/19 11:25,11/18/19 11:27,11/18/19 11:44,BURLINGTON,5408,B,"44.5221530078,-73.238948566"
New North End,L4,19-0006541,EMS call,10/16/19 13:51,10/16/19 13:51,10/16/19 13:51,10/16/19 13:52,10/16/19 13:56,10/16/19 14:40,BURLINGTON,5408,B,"44.5141626459,-73.2774627616"
New North End,L4,19-0006578,Assist invalid,10/18/19 10:16,10/18/19 10:16,10/18/19 10:16,10/18/19 10:18,10/18/19 10:20,10/18/19 10:24,BURLINGTON,5408,A,"44.5058616112,-73.2642260666"
New North End,L4,19-0005650,EMS call,9/10/19 16:02,9/10/19 16:02,9/10/19 16:03,9/10/19 16:05,9/10/19 16:06,9/10/19 16:28,BURLINGTON,5408,B,"44.5039360308,-73.2274756159"
New North End,L4,19-0007068,EMS call,11/7/19 5:46,11/7/19 5:46,11/7/19 5:47,11/7/19 5:49,11/7/19 5:51,11/7/19 6:15,BURLINGTON,5408,C,"44.5363596559,-73.2756370532"
New North End,L4,18-0005970,Assist invalid,9/24/18 19:57,9/24/18 19:57,9/24/18 19:57,9/24/18 20:00,9/24/18 20:01,9/24/18 20:10,BURLINGTON,5408,B,"44.5070647809,-73.2783465203"
New North End,L4,18-0006046,EMS call,9/28/18 3:35,9/28/18 3:35,9/28/18 3:36,9/28/18 3:38,9/28/18 3:39,9/28/18 4:02,BURLINGTON,5408,C,"44.4909718853,-73.2594327802"
Downtown,E6,19-0006158,EMS call,10/1/19 16:23,10/1/19 16:23,10/1/19 16:23,10/1/19 16:25,10/1/19 16:25,10/1/19 16:34,BURLINGTON,5401,B,"44.4787309024,-73.2474097859"
New North End,E6,19-0000272,Smoke detector activation due to malfunction,1/15/19 5:46,1/15/19 5:46,1/15/19 5:46,1/15/19 5:49,1/15/19 5:51,1/15/19 6:02,BURLINGTON,5408,A,"44.5274774185,-73.262894482"
New North End,E6,18-0005062,EMS call,8/20/18 5:03,8/20/18 5:03,8/20/18 5:04,8/20/18 5:06,8/20/18 5:07,8/20/18 5:32,BURLINGTON,5408,C,"44.5189496477,-73.225675029"
New North End,E6,18-0005136,EMS call,8/23/18 3:21,8/23/18 3:21,8/23/18 3:22,8/23/18 3:22,8/23/18 3:23,8/23/18 3:37,BURLINGTON,5408,C,"44.5334035631,-73.2451844989"
New North End,E6,18-0004781,"Smoke detector activation (no fire), unintentional",8/9/18 2:28,8/9/18 2:28,8/9/18 2:28,8/9/18 2:32,8/9/18 2:33,8/9/18 2:39,BURLINGTON,5408,C,"44.5007198701,-73.2693241497"
New North End,E6,18-0004887,EMS call,8/13/18 3:12,8/13/18 3:12,8/13/18 3:13,8/13/18 3:15,8/13/18 3:18,8/13/18 3:27,BURLINGTON,5408,B,"44.511023225,-73.232322892"
New North End,E6,18-0007658,Assist invalid,12/11/18 5:19,12/11/18 5:19,12/11/18 5:20,12/11/18 5:23,12/11/18 5:26,12/11/18 5:42,BURLINGTON,5408,B,"44.4863295821,-73.2571351294"
Hill Section,E6,19-0001000,EMS call where injured party has been transported by a non-fire service agency or left the scene prior to arrival,2/15/19 4:09,2/15/19 4:09,2/15/19 4:10,2/15/19 4:12,2/15/19 4:12,2/15/19 4:22,BURLINGTON,5401,B,"44.4711118702,-73.1743687906"
New North End,E6,18-0005110,EMS call,8/21/18 17:26,8/21/18 17:26,8/21/18 17:27,8/21/18 17:29,8/21/18 17:31,8/21/18 17:43,BURLINGTON,5408,A,"44.520591098,-73.223696831"
New North End,E6,18-0005281,EMS call,8/29/18 13:08,8/29/18 13:08,8/29/18 13:08,8/29/18 13:11,8/29/18 13:13,8/29/18 13:28,BURLINGTON,5408,C,"44.5165283189,-73.2828168867"
New North End,E6,18-0005371,EMS call,9/2/18 16:08,9/2/18 16:08,9/2/18 16:09,9/2/18 16:11,9/2/18 16:13,9/2/18 16:29,BURLINGTON,5408,A,"44.5273061365,-73.2441869701"
Downtown,E6,19-0007350,EMS call,11/18/19 11:58,11/18/19 11:58,11/18/19 11:59,11/18/19 12:01,11/18/19 12:03,11/18/19 12:22,BURLINGTON,5401,B,"44.488473609,-73.2234479757"
New North End,L2,19-0000981,EMS call,2/14/19 10:33,2/14/19 10:33,2/14/19 10:34,2/14/19 10:36,2/14/19 10:40,2/14/19 11:05,BURLINGTON,5408,A,"44.524123357,-73.2447292499"
Old North End,L2,19-0003562,EMS call,6/14/19 11:18,6/14/19 11:18,6/14/19 11:19,6/14/19 11:20,6/14/19 11:21,6/14/19 11:38,BURLINGTON,5401,A,"44.4827302713,-73.2032714494"
Old North End,L2,18-0006099,Gasoline or other flammable liquid spill,9/29/18 20:08,9/29/18 20:08,9/29/18 20:09,9/29/18 20:13,9/29/18 20:15,9/29/18 20:19,BURLINGTON,5401,A,"44.4628025527,-73.1991925608"
Old North End,L2,18-0006313,EMS call,10/7/18 14:27,10/7/18 14:27,10/7/18 14:27,10/7/18 14:29,10/7/18 14:31,10/7/18 14:35,BURLINGTON,5401,C,"44.4735207036,-73.2031148862"
Hill Section,E3,19-0005435,Motor vehicle accident with no injuries,9/2/19 1:52,9/2/19 1:52,9/2/19 1:52,9/2/19 1:54,9/2/19 1:56,9/2/19 2:09,BURLINGTON,5401,B,"44.4734655097,-73.1945307612"
Hill Section,E3,19-0006976,EMS call where injured party has been transported by a non-fire service agency or left the scene prior to arrival,11/3/19 6:23,11/3/19 6:23,11/3/19 6:23,11/3/19 6:24,11/3/19 6:27,11/3/19 6:34,BURLINGTON,5401,B,"44.4587835019,-73.2283503397"
Hill Section,E3,19-0003585,Animal problem  Includes persons trapped by an animal or an animal on the loose,6/15/19 13:24,6/15/19 13:24,6/15/19 13:25,6/15/19 13:27,6/15/19 13:28,6/15/19 13:37,BURLINGTON,5401,B,"44.5013873082,-73.2172002928"
Hill Section,E3,19-0003794,"Natural vegetation fire, other",6/24/19 0:39,6/24/19 0:39,6/24/19 0:39,6/24/19 0:41,6/24/19 0:43,6/24/19 0:48,BURLINGTON,5401,A,"44.4973443077,-73.1873032857"
Hill Section,E3,19-0000006,EMS call,12/31/18 20:25,12/31/18 20:25,12/31/18 20:25,12/31/18 20:27,12/31/18 20:30,12/31/18 20:39,BURLINGTON,5401,A,"44.4974687985,-73.1799094824"
New North End,12A1,19-0001853,EMS call,3/28/19 19:56,3/28/19 19:56,3/28/19 20:02,3/28/19 20:04,3/28/19 20:16,3/29/19 2:37,BURLINGTON,5408,A,"44.495040594,-73.2591703286"
South End,12A1,18-0007879,EMS call,12/21/18 7:01,12/21/18 7:01,12/21/18 7:05,12/21/18 7:06,12/21/18 7:14,12/21/18 8:03,BURLINGTON,5401,C,"44.4524948164,-73.2277960061"
Downtown,I3,19-0004836,Building fire  Excludes confined fires (113–118),8/6/19 16:44,8/6/19 16:44,8/6/19 18:17,8/6/19 18:17,8/6/19 18:17,8/6/19 19:42,BURLINGTON,5401,C,"44.4713367362,-73.2064759827"
South End,I3,19-0000831,Building fire  Excludes confined fires (113–118),2/7/19 3:03,2/7/19 3:03,2/7/19 3:23,2/7/19 3:23,2/7/19 3:51,2/7/19 5:24,BURLINGTON,5401,C,"44.4513309835,-73.2508926934"
Downtown,I3,19-0003138,Building fire  Excludes confined fires (113–118),5/27/19 12:51,5/27/19 12:51,5/27/19 14:18,5/27/19 14:18,5/27/19 14:18,5/27/19 14:33,BURLINGTON,5401,A,"44.4469804998,-73.2152430958"
X,I3,18-0006853,Assist police or other governmental agency,11/1/18 2:27,11/1/18 2:27,11/1/18 2:29,11/1/18 2:29,11/1/18 4:00,11/1/18 8:29,Woodbury,5681,D,"44.4074419478,-72.4176406261"
South End,I3,19-0000348,Burlington Fire Department - Contractor Billable False Alarm,1/18/19 9:08,1/18/19 9:08,1/18/19 9:46,1/18/19 9:46,1/18/19 9:46,1/18/19 10:15,BURLINGTON,5401,A,"44.4567464648,-73.2427145362"
Downtown,SRA1,18-0005102,EMS call where injured party has been transported by a non-fire service agency or left the scene prior to arrival,8/21/18 8:26,8/21/18 8:26,8/21/18 8:31,8/21/18 8:39,8/21/18 8:39,8/21/18 10:13,BURLINGTON,5401,A,"44.4893793819,-73.217334705"
New North End,I3,19-0005289,Unauthorized burning,8/27/19 7:37,8/27/19 7:37,8/27/19 8:24,8/27/19 8:24,8/27/19 8:24,8/27/19 9:02,BURLINGTON,5408,C,"44.5136774979,-73.2089788767"
Hill Section,A2,19-0004464,EMS call,7/23/19 6:58,7/23/19 6:58,7/23/19 6:58,7/23/19 7:00,7/23/19 7:20,7/23/19 7:59,BURLINGTON,5401,A,"44.5122760987,-73.1950278845"
South End,E5,18-0005925,Assist police or other governmental agency,9/23/18 6:54,9/23/18 6:54,9/23/18 6:54,9/23/18 6:56,9/23/18 6:59,9/23/18 7:29,BURLINGTON,5401,A,"44.4745261559,-73.1975906308"
South End,E5,19-0003349,EMS call,6/5/19 23:48,6/5/19 23:48,6/5/19 23:49,6/5/19 23:55,6/5/19 23:55,6/6/19 0:28,BURLINGTON,5401,A,"44.4560760444,-73.1999087537"
South End,E5,19-0003160,Alarm system activation due to malfunction,5/28/19 13:53,5/28/19 13:53,5/28/19 13:53,5/28/19 13:55,5/28/19 13:56,5/28/19 14:04,BURLINGTON,5401,B,"44.4526046436,-73.1873651819"
Hill Section,E5,19-0002082,EMS call,4/8/19 9:46,4/8/19 9:46,4/8/19 9:48,4/8/19 9:50,4/8/19 9:54,4/8/19 10:05,BURLINGTON,5401,C,"44.4903504479,-73.1759381415"
South End,E5,18-0005188,"Good intent call, other",8/25/18 2:44,8/25/18 2:44,8/25/18 2:45,8/25/18 2:47,8/25/18 2:50,8/25/18 2:56,BURLINGTON,5401,A,"44.4763117764,-73.1958891135"
Hill Section,6A1,19-0000585,,1/27/19 18:18,1/27/19 18:18,1/27/19 18:27,1/27/19 18:27,1/27/19 18:27,1/27/19 19:00,BURLINGTON,5401,A,"44.4861237869,-73.1895890592"
Hill Section,R1,19-0007001,EMS call,11/4/19 8:26,11/4/19 8:26,11/4/19 8:26,11/4/19 8:27,11/4/19 8:32,11/4/19 9:14,BURLINGTON,5401,C,"44.5012869322,-73.1944949273"
Hill Section,R1,19-0007020,EMS call,11/5/19 6:32,11/5/19 6:32,11/5/19 6:32,11/5/19 6:32,11/5/19 6:34,11/5/19 6:55,BURLINGTON,5401,A,"44.4782936363,-73.1703649636"
Downtown,R1,19-0007483,EMS call,11/24/19 4:17,11/24/19 4:17,11/24/19 4:17,11/24/19 4:18,11/24/19 4:18,11/24/19 4:33,BURLINGTON,5401,B,"44.4775613054,-73.2346728988"
Hill Section,BATT1,19-0006931,Flood assessment  Excludes water rescue (360 series),11/1/19 13:51,11/1/19 13:51,11/1/19 13:52,11/1/19 13:52,11/1/19 13:59,11/1/19 14:11,BURLINGTON,5401,C,"44.5044138796,-73.1806843881"
Downtown,BATT1,19-0003358,Smoke or odor removal,6/6/19 9:54,6/6/19 9:54,6/6/19 9:55,6/6/19 9:58,6/6/19 9:58,6/6/19 10:38,BURLINGTON,5401,B,"44.464629084,-73.2411800064"
New North End,BATT1,19-0005523,Cooking fire involving the contents of a cooking vessel without fire extension beyond the vessel,9/5/19 10:52,9/5/19 10:52,9/5/19 10:52,9/5/19 10:54,9/5/19 11:03,9/5/19 11:09,BURLINGTON,5408,C,"44.5244256694,-73.2170690529"
Hill Section,BATT1,19-0007342,Alarm system activation due to malfunction,11/18/19 6:22,11/18/19 6:22,11/18/19 6:23,11/18/19 6:24,11/18/19 6:27,11/18/19 6:33,BURLINGTON,5401,B,"44.4831547845,-73.2150676085"
South End,E5,18-0006982,EMS call,11/6/18 11:51,11/6/18 11:51,11/6/18 11:54,11/6/18 11:55,11/6/18 11:56,11/6/18 12:28,BURLINGTON,5401,C,"44.4521395465,-73.2522452031"
South End,E5,18-0007237,EMS call,11/21/18 4:21,11/21/18 4:21,11/21/18 4:22,11/21/18 4:24,11/21/18 4:27,11/21/18 4:40,BURLINGTON,5401,C,"44.4510374509,-73.2058114901"
South End,E5,19-0000195,EMS call,1/11/19 16:18,1/11/19 16:18,1/11/19 16:18,1/11/19 16:20,1/11/19 16:22,1/11/19 16:40,BURLINGTON,5401,C,"44.4689120774,-73.2028921139"
South End,E5,18-0007821,EMS call,12/18/18 9:57,12/18/18 9:57,12/18/18 9:59,12/18/18 10:00,12/18/18 10:03,12/18/18 10:22,BURLINGTON,5401,C,"44.4460195946,-73.2131634078"
South End,E5,18-0007909,Motor vehicle accident with no injuries,12/22/18 20:04,12/22/18 20:04,12/22/18 20:06,12/22/18 20:10,12/22/18 20:12,12/22/18 20:15,BURLINGTON,5401,A,"44.4831082171,-73.2093496119"
South End,E5,19-0001840,Unauthorized burning,3/28/19 11:32,3/28/19 11:32,3/28/19 11:32,3/28/19 11:34,3/28/19 11:39,3/28/19 11:53,BURLINGTON,5401,A,"44.4515979181,-73.2180405257"
New North End,E5,19-0001873,EMS call,3/29/19 12:27,3/29/19 12:27,3/29/19 12:43,3/29/19 12:44,3/29/19 12:55,3/29/19 14:07,BURLINGTON,5408,B,"44.505965131,-73.2471579824"
South End,E5,19-0002003,EMS call,4/4/19 18:46,4/4/19 18:46,4/4/19 18:46,4/4/19 18:48,4/4/19 18:51,4/4/19 19:57,BURLINGTON,5401,B,"44.4760638225,-73.1888387731"
South End,E5,19-0004458,EMS call,7/22/19 21:17,7/22/19 21:17,7/22/19 21:17,7/22/19 21:19,7/22/19 21:22,7/22/19 22:12,BURLINGTON,5401,C,"44.4650672122,-73.2046240963"
New North End,L4,19-0002846,EMS call,5/13/19 21:38,5/13/19 21:38,5/13/19 21:38,5/13/19 21:40,5/13/19 21:43,5/13/19 21:49,BURLINGTON,5408,B,"44.5261826319,-73.2348543076"
New North End,L4,19-0002861,EMS call,5/14/19 18:22,5/14/19 18:22,5/14/19 18:22,5/14/19 18:25,5/14/19 18:28,5/14/19 18:28,BURLINGTON,5408,C,"44.5170213373,-73.2322932395"
New North End,L4,19-0002865,EMS call,5/15/19 1:49,5/15/19 1:49,5/15/19 1:49,5/15/19 1:52,5/15/19 1:53,5/15/19 2:08,BURLINGTON,5408,C,"44.5256681192,-73.2302159738"
New North End,L4,19-0003338,EMS call,6/5/19 11:55,6/5/19 11:55,6/5/19 11:56,6/5/19 11:58,6/5/19 12:00,6/5/19 12:19,BURLINGTON,5408,A,"44.4968645484,-73.2130563311"
New North End,L4,18-0006215,EMS call,10/4/18 9:40,10/4/18 9:40,10/4/18 9:40,10/4/18 9:42,10/4/18 9:48,10/4/18 10:06,BURLINGTON,5408,C,"44.5066834073,-73.2459514652"
New North End,L4,18-0007761,Unauthorized burning,12/15/18 8:48,12/15/18 8:48,12/15/18 8:48,12/15/18 8:51,12/15/18 8:55,12/15/18 9:03,BURLINGTON,5401,C,"44.496333271,-73.2246481112"
New North End,L4,19-0001797,EMS call,3/25/19 19:25,3/25/19 19:25,3/25/19 19:25,3/25/19 19:29,3/25/19 19:32,3/25/19 19:42,BURLINGTON,5408,A,"44.5098779736,-73.2279160827"
New North End,L4,19-0001810,Smoke detector activation due to malfunction,3/26/19 16:06,3/26/19 16:06,3/26/19 16:07,3/26/19 16:11,3/26/19 16:11,3/26/19 16:18,BURLINGTON,5408,B,"44.5371249802,-73.2715328804"
New North End,L4,19-0001885,EMS call,3/30/19 4:14,3/30/19 4:14,3/30/19 4:15,3/30/19 4:18,3/30/19 4:20,3/30/19 4:28,BURLINGTON,5408,C,"44.5271988107,-73.2335540203"
South End,A5,19-0002409,EMS call,4/23/19 1:20,4/23/19 1:20,4/23/19 1:21,4/23/19 1:24,4/23/19 1:28,4/23/19 2:33,BURLINGTON,5401,B,"44.4390129691,-73.2103270378"
New North End,A5,19-0002435,EMS call,4/23/19 17:47,4/23/19 17:47,4/23/19 17:49,4/23/19 18:00,4/23/19 18:00,4/23/19 18:16,BURLINGTON,5408,C,"44.4959831273,-73.2294146356"
South End,A5,19-0002512,EMS call,4/27/19 8:53,4/27/19 8:53,4/27/19 8:53,4/27/19 8:55,4/27/19 8:59,4/27/19 9:49,BURLINGTON,5401,A,"44.4306647706,-73.2162396295"
New North End,A5,19-0002602,EMS call,5/1/19 8:47,5/1/19 8:47,5/1/19 8:47,5/1/19 8:49,5/1/19 8:58,5/1/19 10:01,BURLINGTON,5408,B,"44.4998460464,-73.2732354644"
Downtown,E1,19-0000053,EMS call,1/3/19 7:47,1/3/19 7:47,1/3/19 7:47,1/3/19 7:49,1/3/19 7:49,1/3/19 7:51,BURLINGTON,5401,A,"44.4835416746,-73.1792528767"
New North End,E1,19-0001843,EMS call,3/28/19 14:08,3/28/19 14:08,3/28/19 14:12,3/28/19 14:12,3/28/19 14:23,3/28/19 14:56,BURLINGTON,5408,A,"44.5203279979,-73.2644367136"
Hill Section,E1,19-0002039,"Biological hazard, confirmed or suspected",4/6/19 12:00,4/6/19 12:00,4/6/19 12:05,4/6/19 12:05,4/6/19 12:11,4/6/19 12:16,BURLINGTON,5401,A,"44.4953211495,-73.22548018"
Downtown,E1,19-0007419,EMS call,11/21/19 5:06,11/21/19 5:06,11/21/19 5:09,11/21/19 5:09,11/21/19 5:12,11/21/19 5:47,BURLINGTON,5401,B,"44.4584844957,-73.2017607451"
Downtown,E1,19-0007463,EMS call,11/23/19 9:35,11/23/19 9:35,11/23/19 9:36,11/23/19 9:37,11/23/19 9:39,11/23/19 9:45,BURLINGTON,5401,A,"44.4516916038,-73.21962395"
Downtown,E1,19-0007552,EMS call,11/27/19 8:58,11/27/19 8:58,11/27/19 8:58,11/27/19 9:00,11/27/19 9:00,11/27/19 9:24,BURLINGTON,5401,B,"44.4611927937,-73.1996781824"
Downtown,E1,19-0007558,"Arcing, shorted electrical equipment",11/27/19 11:24,11/27/19 11:24,11/27/19 11:26,11/27/19 11:28,11/27/19 11:30,11/27/19 11:59,BURLINGTON,5401,B,"44.4861344784,-73.2368209139"
Downtown,T1,19-0006313,Smoke detector activation due to malfunction,10/7/19 19:19,10/7/19 19:19,10/7/19 19:20,10/7/19 19:22,10/7/19 19:25,10/7/19 19:29,BURLINGTON,5401,B,"44.4656383488,-73.2014028032"
Downtown,T1,19-0002522,EMS call,4/27/19 14:30,4/27/19 14:30,4/27/19 14:32,4/27/19 14:35,4/27/19 14:35,4/27/19 14:39,BURLINGTON,5401,A,"44.4649131223,-73.2307980523"
Hill Section,E6,19-0006398,EMS call,10/11/19 9:37,10/11/19 9:37,10/11/19 9:38,10/11/19 9:39,10/11/19 9:42,10/11/19 9:49,BURLINGTON,5401,C,"44.5096760413,-73.1838049837"
Old North End,E6,18-0007275,EMS call,11/22/18 14:21,11/22/18 14:21,11/22/18 14:21,11/22/18 14:22,11/22/18 14:24,11/22/18 14:33,BURLINGTON,5401,A,"44.4818288805,-73.1852853585"
Downtown,E6,18-0007351,"Smoke detector activation (no fire), unintentional",11/26/18 15:42,11/26/18 15:42,11/26/18 15:43,11/26/18 15:45,11/26/18 15:47,11/26/18 15:50,BURLINGTON,5401,B,"44.4908025137,-73.1929714257"
Downtown,E6,18-0004694,"Good intent call, other",8/6/18 3:13,8/6/18 3:13,8/6/18 3:13,8/6/18 3:14,8/6/18 3:14,8/6/18 3:34,BURLINGTON,5401,C,"44.4897000604,-73.2407788625"
New North End,E6,19-0001661,"Smoke detector activation (no fire), unintentional",3/19/19 23:48,3/19/19 23:48,3/19/19 23:48,3/19/19 23:51,3/19/19 23:52,3/20/19 0:05,BURLINGTON,5408,A,"44.527986035,-73.2420215232"
New North End,E6,19-0003223,EMS call,5/31/19 4:29,5/31/19 4:29,5/31/19 4:30,5/31/19 4:32,5/31/19 4:34,5/31/19 5:27,BURLINGTON,5408,B,"44.5354000249,-73.2667434028"
Downtown,E6,19-0001888,Unauthorized burning,3/30/19 7:35,3/30/19 7:35,3/30/19 7:36,3/30/19 7:36,3/30/19 7:36,3/30/19 7:36,BURLINGTON,5401,C,"44.4843228341,-73.2343232992"
New North End,E6,18-0005312,EMS call,8/30/18 19:33,8/30/18 19:33,8/30/18 19:33,8/30/18 19:36,8/30/18 19:37,8/30/18 19:50,BURLINGTON,5408,A,"44.5324086894,-73.2500611982"
Downtown,E6,19-0006195,EMS call,10/3/19 10:34,10/3/19 10:34,10/3/19 10:35,10/3/19 10:37,10/3/19 10:40,10/3/19 10:40,BURLINGTON,5401,A,"44.4705489678,-73.2340883252"
Downtown,T1,19-0002607,"Smoke detector activation (no fire), unintentional",5/1/19 11:29,5/1/19 11:29,5/1/19 11:29,5/1/19 11:31,5/1/19 11:34,5/1/19 12:10,BURLINGTON,5401,B,"44.4575797774,-73.2186241117"
Downtown,E1,19-0002661,EMS call,5/4/19 3:29,5/4/19 3:29,5/4/19 3:29,5/4/19 3:31,5/4/19 3:31,5/4/19 3:43,BURLINGTON,5401,B,"44.5085128016,-73.2139583546"
New North End,T1,19-0005823,Gas leak (natural gas or LPG),9/17/19 13:18,9/17/19 13:18,9/17/19 13:19,9/17/19 13:21,9/17/19 13:33,9/17/19 13:35,BURLINGTON,5408,C,"44.5351180071,-73.2275624801"
Downtown,E1,19-0005349,EMS call,8/30/19 0:57,8/30/19 0:57,8/30/19 0:58,8/30/19 1:00,8/30/19 1:21,8/30/19 1:21,BURLINGTON,5401,B,"44.4888924415,-73.2285936938"
South End,T1,19-0005375,Smoke detector activation due to malfunction,8/30/19 20:14,8/30/19 20:14,8/30/19 20:15,8/30/19 20:17,8/30/19 20:22,8/30/19 20:24,BURLINGTON,5401,C,"44.4376478795,-73.2099598171"
Downtown,E1,19-0007487,EMS call,11/24/19 6:18,11/24/19 6:18,11/24/19 6:19,11/24/19 6:20,11/24/19 6:22,11/24/19 6:33,BURLINGTON,5401,B,"44.4760029461,-73.2302157708"
Downtown,E1,19-0006543,EMS call,10/16/19 15:29,10/16/19 15:29,10/16/19 15:29,10/16/19 15:31,10/16/19 15:32,10/16/19 15:41,BURLINGTON,5401,B,"44.4752281622,-73.232736469"
Downtown,E1,19-0006584,EMS call,10/18/19 16:15,10/18/19 16:15,10/18/19 16:17,10/18/19 16:17,10/18/19 16:18,10/18/19 16:28,BURLINGTON,5401,A,"44.4683790887,-73.2496015484"
Downtown,E1,19-0006625,"Smoke detector activation (no fire), unintentional",10/20/19 15:53,10/20/19 15:53,10/20/19 15:54,10/20/19 15:56,10/20/19 15:58,10/20/19 16:04,BURLINGTON,5401,C,"44.4708295872,-73.2251054133"
New North End,A2,19-0005701,Motor vehicle accident with no injuries,9/12/19 14:10,9/12/19 14:10,9/12/19 14:11,9/12/19 14:11,9/12/19 14:17,9/12/19 14:25,BURLINGTON,5408,A,"44.4976494854,-73.22956222"
Old North End,A2,19-0005832,Outside equipment fire,9/17/19 17:05,9/17/19 17:05,9/17/19 17:05,9/17/19 17:08,9/17/19 17:08,9/17/19 17:10,BURLINGTON,5401,C,"44.491208128,-73.2137706895"
New North End,L4,18-0007899,Assist invalid,12/22/18 3:33,12/22/18 3:33,12/22/18 3:33,12/22/18 3:36,12/22/18 3:42,12/22/18 3:54,BURLINGTON,5408,A,"44.4925149601,-73.2390279588"
New North End,L4,19-0007324,EMS call,11/17/19 4:29,11/17/19 4:29,11/17/19 4:29,11/17/19 4:31,11/17/19 4:33,11/17/19 4:46,BURLINGTON,5408,A,"44.5372909041,-73.254266274"
New North End,L4,19-0007382,EMS call,11/19/19 13:24,11/19/19 13:24,11/19/19 13:25,11/19/19 13:26,11/19/19 13:29,11/19/19 13:48,BURLINGTON,5408,C,"44.5347589266,-73.2837026456"
New North End,L4,19-0007454,"Alarm system activation (no fire), unintentional",11/22/19 19:47,11/22/19 19:47,11/22/19 19:47,11/22/19 19:50,11/22/19 19:51,11/22/19 19:57,BURLINGTON,5408,C,"44.5068169369,-73.2772244853"
New North End,L4,19-0002591,EMS call,4/30/19 16:17,4/30/19 16:17,4/30/19 16:17,4/30/19 16:19,4/30/19 16:21,4/30/19 16:27,BURLINGTON,5408,A,"44.4976682518,-73.2684319049"
New North End,L4,18-0005638,"Alarm system activation (no fire), unintentional",9/13/18 8:46,9/13/18 8:46,9/13/18 8:46,9/13/18 8:50,9/13/18 8:53,9/13/18 9:07,BURLINGTON,5408,C,"44.4860598903,-73.2372596771"
Hill Section,A2,19-0006371,EMS call,10/10/19 7:42,10/10/19 7:42,10/10/19 7:43,10/10/19 7:44,10/10/19 7:48,10/10/19 8:10,BURLINGTON,5401,B,"44.4804318905,-73.1913153074"
New North End,A2,19-0002697,EMS call,5/5/19 15:52,5/5/19 15:52,5/5/19 15:52,5/5/19 15:56,5/5/19 15:56,5/5/19 17:23,BURLINGTON,5408,C,"44.4837978082,-73.2595535129"
New North End,A2,19-0005892,EMS call,9/20/19 9:56,9/20/19 9:56,9/20/19 9:56,9/20/19 9:58,9/20/19 10:03,9/20/19 10:49,BURLINGTON,5408,C,"44.5234543744,-73.2678167298"
Old North End,A2,18-0005591,EMS call,9/11/18 10:30,9/11/18 10:30,9/11/18 10:32,9/11/18 10:34,9/11/18 10:36,9/11/18 10:39,BURLINGTON,5401,A,"44.4614883892,-73.2139721498"
New North End,L4,18-0005971,EMS call,9/24/18 21:11,9/24/18 21:11,9/24/18 21:11,9/24/18 21:14,9/24/18 21:16,9/24/18 21:47,BURLINGTON,5408,B,"44.5150914028,-73.2467387119"
New North End,L4,19-0002113,EMS call,4/9/19 22:57,4/9/19 22:57,4/9/19 22:58,4/9/19 23:01,4/9/19 23:02,4/9/19 23:26,BURLINGTON,5408,A,"44.5023457761,-73.2840541342"
New North End,L4,19-0001621,EMS call,3/17/19 15:08,3/17/19 15:08,3/17/19 15:10,3/17/19 15:15,3/17/19 15:15,3/17/19 18:19,BURLINGTON,5408,B,"44.533429023,-73.2436839064"
South End,L4,19-0001681,Carbon monoxide incident,3/20/19 16:09,3/20/19 16:09,3/20/19 16:10,3/20/19 16:12,3/20/19 16:16,3/20/19 16:22,BURLINGTON,5401,B,"44.4604411594,-73.190001521"
